mosque_name,decade_built,decade_demolished,latitude,longitude,image_url,description,traveler quote,quote author
Bayrakli Mosque,1670,2026,44.82214,20.45736,https://drive.google.com/file/d/1OfEalDfIbmtBEVni5zPNXzdjQOT02Wxs/view?usp=sharing,"It is the only mosque that exists in Belgrade today and is one of the oldest building of the capital. It was built between 1660 and 1688, although there are legends about its construction as early as 1521, immediately after the conquest of Belgrade. According to some sources it was built by Suleiman II in 1690. During the occupation of Serbia by the Austrians (between 1717 and 1739), it was converted into a Catholic church, and according to the census from 1728 it belonged to the Jesuits. But after the Ottomans retook Belgrade, it was returned to its original function.

Today you can see where the mihrab for the entrance and the wall for the altar were broken through. The mosque is made of stone, and the walls are parts made of brick as well as the minaret. To hide this difference, the mosque was plastered. ","Already in 1887 I found of the 15 mosques in Belgrade, only one remains, the Bayraktar Mosque, built by Suleiman the Magnificent. Magnificent, on Gospodar-Jevremova Street, where pilgrims once gathered who were leaving for Mecca; and its windows and doors were broken, which is evident was a sign that it was doomed to failure.","Felix Kanitz (1829 – 1904), an Austro-Hungarian ethnographer and traveler"
Batal Mosque,1580,1870,44.81173,20.46596,https://drive.google.com/file/d/1ibwaJAHWx9zzyiKzWRDJAwJjS8BsfTD-/view?usp=drive_link,"Built around 1585, this was one of the largest mosques in Belgrade. Severely damaged during Austrian attacks in 1789 and again during the First Serbian Uprising in 1806, it was never fully restored and gradually fell into ruin. From the mid-19th century it was known as Batal Mosque — ""Abandoned mosque"" — and was used for various non-religious purposes. It was eventually demolished 1870s.","In the centre of Christian Belgrade until 1878 stood the Batala Mosque, undoubtedly the most beautiful Turkish building in Serbia, solitary and majestic, as if mourning the glorious days of the Crescent, which it still remembered. Standing out from the surrounding area with its massiveness, its square central part, made of brown oxidized sandstone, turned halfway into an octagon, supporting a proud dome. Along the southern facade, on an octagonal plinth, rose a graceful, richly decorated minaret, from which the call to prayer was carried far and wide. When Karadjordje captured Belgrade, the spires and the top of the minaret fell from their proud height, while the central part, despite the ravages of time, remained intact, with the exception of the main portal, which was cruelly destroyed. The sunlight entered the interior through twenty windows with pointed arches, of which eight richly decorated ribbed arches, on which the dome rests. The outer chamfered trapezoids, intermediate elements in the transition from the square to the octagonal tambour, were on the inner side of the world, on which Mecca is located, decorated with graceful pendentives, as can be seen in my sketch made in 1860.","Felix Kanitz (1829 – 1904), an Austro-Hungarian ethnographer and traveler"
Sinjirli Mosque,1540,1870,44.823376,20.460932,https://drive.google.com/file/d/1iWtsb4GhH5NDzCOyMZKPntq_teQ7wJva/view?usp=drive_link,"Built in 1549, this mosque stood in the busy Lower Bazaar area of Dorćol and was popular among locals. It was later known as the ""Chain Mosque"" (Sinđirli) due to the chains that once hung around its entrance and minaret (to keep cattle from wandering inside). Damaged in 1688, it was later used as a warehouse and by Franciscans before being restored in 1741. It was likely demolished around 1878.","In the large square there was a ruined mosque and next to it the remains of a Turkish well. It was called Singirgiami, from Singir, chains, and giami, mosque, because like the gates of some of our churches, it was surrounded by chains tied to stakes.","Giovanni Battista Barbanti-Brodano (1819 – 1931), an Italian engineer, architect, and traveler"
Shehitluk Mosque,1570,1870,44.825745,20.459059,https://drive.google.com/file/d/19z_BgCveL8MuJCyUJuDcXatV3C74LUyD/view?usp=drive_link,"Built in 1575, this mosque stood next to a cemetery for fallen soldiers (šehids), which gave it the name ""Šehitluk Mosque."" During the Austrian occupation of Belgrade (1717–1739), it was assigned to the Catholic Trinitarian order. In 1740, it was renovated. It was last marked on maps in 1878 and likely demolished soon after.","On its southeast door there is an inscription that reads:
'For the love of God, the merchant Haji Muhyuddin is now building a high mosque,
Zejni said in a high voice: Let its chronology be: Pray five times a day'.","Evliya Çelebi (1611 – 1682), an Ottoman explorer"
Hasan Pasha's Mosque,1740,1940,44.820604,20.4512342,https://drive.google.com/file/d/1MEOwJJX8Tuiy8O1hVFRBoD_DsM8cWN3D/view?usp=drive_link,"Built in 1740s by Seyyid Hasan Pasha the mosque stood in the Lower Town near the main janissary barracks. Damaged in 1806, it was repaired after 1826, but its minaret was demolished in 1860s, after which it began to deteriorate. Later used as a warehouse, it burned during World War II and was eventually demolished.",,
Kara Mosque,1550,1890,44.816303,20.461607,https://drive.google.com/file/d/1gPcEh0dTEQFz3Sj1V_ZTmrFas4VkzCDZ/view?usp=drive_link,"Built in 1550s, it stood near the Stambol Gate, close to today’s National Theatre. It was later used as a hospital, then a residence, and was renovated in 1739. In 1869, it was converted into a gasworks for the theatre, becoming blackened by soot and known as the “Black Mosque” (Kara-džamija). It was demolished in 1890s.",,
Turbe Mosque,1610,1870,44.818237,20.462838,https://drive.google.com/file/d/1_DC1ZDzpuCGDl7fuEq2IA5RiFY0brACp/view?usp=drive_link,"Built in the 1610s, the mosque became notable in 1683 when Kara Mustafa Pasha’s headless body was buried in its courtyard (after his failed Siege of Vienna). His grave turned the mosque into a place of reverence and gave it the name ""Turbe"" (mausoleum). It was later used as a hospital, a dervish lodge, and finally a theater warehouse before being demolished in 1875.",,
Sultan Mustafa Mosque,1560,1870,44.827797,20.45434,https://drive.google.com/file/d/1iA3QgSA00Q8SIt__ugZD8zs7fdLGdNKN/view?usp=drive_link,"When it was built in 1560, it served as a mescid (a smaller religious structure), and only from 1572 did it become a mosque. It may have been destroyed or damaged during the Austrian siege of 1717, and was then renovated with the sponsorship of Sultan Mustafa (which is why it was renamed after him). It was last mentioned in 1870, when the mosque’s interior was sketched by the Bulgarian architect Konstantin Jovanović.","The inscription on its high door reads: 'Thinking, Gutfi uttered a beautiful chronicle to her: How good the foundation of this wonderful mosque has been laid'.","Evliya Çelebi (1611 – 1682), an Ottoman explorer"
Turgut-begova Mosque,1600,1870,44.82002,20.45832,https://drive.google.com/file/d/14JJO3PghTGpaFKmmcxk1tbJfX8j-neBu/view?usp=drive_link,"It was built at the beginning of the 17th century. In 1688, it suffered like most other mosques, and in the period from 1717 to 1726, it served as a storage place for artillery supplies. From 1726 to 1739, it was a Catholic church. In 1741, it was renovated. Between 1789 and 1791, it served the Franciscans, and in the 19th century, it was also an Orthodox church. It is believed that the top of the minaret was demolished at that time (1806-1813). Demolished in early 1878. The appearance of the mosque and its location are evidenced by a drawing by Stevo Todorović and a photograph by Ansatas Jovanović.","The one on the Grand Market, in the courtyard of the gendarmerie barracks, was converted into an Orthodox church, while the external architecture was not touched, but a bell was hung on the minaret.","Stevo Todorović (1832 – 1925), a Serbian painter"
Sultan Mahmud Mosque,1730,1890,44.82352,20.45005,,"It was built in 1739 on the site of the former Austrian main guardhouse. Under its roof are there was also a library and a madrasah. The library was originally in the basement, but after the Sultan learned that the books were deteriorating from humidity, he ordered them to be moved upstairs. It existed in 1876, when it was depicted in a drawing by Niccolò Lazaro. After 1878 it was converted into a hospital and its minaret was demolished. They say it later contained ammunition, which accidentally exploded and destroyed the mosque. It was finally demolished before 1895.","Upper fortress and mosque, beautiful architecture, whose interior is very high, but there is nothing inside","Bantysh-Kamensky (1788 – 1850), a Russian historian"
Defterdarova Mosque,1590,1880,44.817051,20.45535,https://drive.google.com/file/d/1Yl0WMQCtMUZr8jxPFF161PLeemyNO2uL/view?usp=sharing,It was built between 1582 and 1600. During the Austrian occupation (1717 – 1739) it served as a hay storage facility. From 1736 it was a Spanish church until it was restored in 1739. It was probably demolished shortly after 1878.,,
